season,avoid_origin,avoid_dest,avoid_risk,swap_dest,swap_risk,risk_reduction
Winter (Dec-Feb),EWR,JFK,68.28020828169944,HRL,27.958741452562744,40.321466829136696
Winter (Dec-Feb),ELP,LIT,68.0147095679405,HRL,27.693862669457875,40.32084689848263
Summer (Jun-Aug),BNA,LIT,65.91341496131055,HRL,25.603656725154053,40.3097582361565
Summer (Jun-Aug),CLT,LIT,65.77693818363248,HRL,25.482688927020437,40.29424925661205
Summer (Jun-Aug),SAN,TPA,65.4378732924414,LRD,25.15145835509316,40.28641493734824
Summer (Jun-Aug),MCO,TUL,70.22496768889883,HRL,29.994349102491487,40.230618586407346
Winter (Dec-Feb),SAN,SNA,68.10919072361978,HRL,27.883397668212055,40.22579305540772
Winter (Dec-Feb),LAX,SAT,68.16829440620388,HRL,27.963635361808272,40.20465904439561
Summer (Jun-Aug),LAS,TUL,65.71263095136085,HRL,25.515542986620186,40.19708796474066
Summer (Jun-Aug),SAN,LIT,65.25794869945285,LRD,25.15145835509316,40.1064903443597
Summer (Jun-Aug),MCO,MCI,70.08687659667092,HRL,29.994349102491487,40.092527494179436
Summer (Jun-Aug),ORD,BNA,65.31852646480252,HRL,25.390833356155145,39.927693108647375
Summer (Jun-Aug),LIT,BHM,68.95893895604729,CHA,29.04663709312608,39.91230186292121
Winter (Dec-Feb),PHX,SAN,67.00441675508945,HRL,27.108124252869185,39.89629250222026
Summer (Jun-Aug),AUS,MSY,65.68270878078604,HRL,25.796220732831742,39.8864880479543
Summer (Jun-Aug),MCO,EWR,69.87119906001296,HRL,29.994349102491487,39.87684995752147
Summer (Jun-Aug),AUS,MEM,65.54990289008826,HRL,25.718098346147563,39.8318045439407
Summer (Jun-Aug),AUS,BHM,65.54035726760699,HRL,25.718098346147563,39.82225892145943
Winter (Dec-Feb),LAX,CLT,67.69206419636406,HRL,27.963635361808272,39.728428834555785
Summer (Jun-Aug),ORD,SFO,65.07268445362465,HRL,25.390833356155145,39.681851097469504
Winter (Dec-Feb),EWR,LIT,67.59473019551274,HRL,27.958741452562744,39.63598874294999
Summer (Jun-Aug),PHX,PNS,66.41172304803285,HRL,26.911666036713456,39.5000570113194
Summer (Jun-Aug),MCO,JAX,69.43014257634721,HRL,29.994349102491487,39.435793473855725
Summer (Jun-Aug),MIA,CLT,67.90904969950289,HRL,28.52465206318216,39.38439763632073
Winter (Dec-Feb),LAX,ATL,67.33541136793217,HRL,27.963635361808272,39.371776006123895
Summer (Jun-Aug),LAX,SAN,67.64373410581544,HRL,28.312126782198675,39.331607323616765
Summer (Jun-Aug),LAX,DTW,67.52721138359978,HRL,28.312126782198675,39.2150846014011
Summer (Jun-Aug),SEA,TPA,65.59320413543813,HRL,26.60627669577324,38.98692743966489
Summer (Jun-Aug),MIA,SAN,67.4191400300509,HRL,28.52465206318216,38.89448796686874
Winter (Dec-Feb),LAX,EWR,66.82071213073898,HRL,27.963635361808272,38.85707676893071
